dr_config,dr_type,s_components,s_ms_per_sample,s_accuracy,s_precision,s_recall,s_f1,s_auc_roc,s_brier,s_score_min,s_score_max,s_score_mean,s_score_std,s_erc20_voxceleb1_P1_ECAPA,s_det_sep_voxceleb1_P1_ECAPA,s_erc20_voxceleb1_P3_ECAPA2,s_det_sep_voxceleb1_P3_ECAPA2,s_erc20_vctk_P1_ECAPA,s_det_sep_vctk_P1_ECAPA,s_erc20_vctk_P3_ECAPA2,s_det_sep_vctk_P3_ECAPA2,s_erc20_cnceleb_P1_ECAPA,s_det_sep_cnceleb_P1_ECAPA,s_erc20_cnceleb_P3_ECAPA2,s_det_sep_cnceleb_P3_ECAPA2,s_erc20_vpqad_P1_ECAPA,s_det_sep_vpqad_P1_ECAPA,s_erc20_vpqad_P3_ECAPA2,s_det_sep_vpqad_P3_ECAPA2,s_erc20_vseadc_P1_ECAPA,s_det_sep_vseadc_P1_ECAPA,s_erc20_vseadc_P3_ECAPA2,s_det_sep_vseadc_P3_ECAPA2,s_mean_erc20,s_mean_det_sep,v_components,v_ms_per_sample,v_accuracy,v_precision,v_recall,v_f1,v_auc_roc,v_brier,v_score_min,v_score_max,v_score_mean,v_score_std,v_erc20_voxceleb1_P1_ECAPA,v_det_sep_voxceleb1_P1_ECAPA,v_erc20_voxceleb1_P3_ECAPA2,v_det_sep_voxceleb1_P3_ECAPA2,v_erc20_vctk_P1_ECAPA,v_det_sep_vctk_P1_ECAPA,v_erc20_vctk_P3_ECAPA2,v_det_sep_vctk_P3_ECAPA2,v_erc20_cnceleb_P1_ECAPA,v_det_sep_cnceleb_P1_ECAPA,v_erc20_cnceleb_P3_ECAPA2,v_det_sep_cnceleb_P3_ECAPA2,v_erc20_vpqad_P1_ECAPA,v_det_sep_vpqad_P1_ECAPA,v_erc20_vpqad_P3_ECAPA2,v_det_sep_vpqad_P3_ECAPA2,v_erc20_vseadc_P1_ECAPA,v_det_sep_vseadc_P1_ECAPA,v_erc20_vseadc_P3_ECAPA2,v_det_sep_vseadc_P3_ECAPA2,v_mean_erc20,v_mean_det_sep
Full (430/133),full,430,0.004701199941337109,0.788659793814433,0.9283018867924528,0.762396694214876,0.8372093023255814,0.8811705340114431,0.15157945508100146,0,100,56.13622974963181,29.13095461130259,11.307767820324543,1.3324162963920794,8.263109103708816,1.3202426450878175,0.0,,0.0,,0.0,,0.0,,18.64529639175258,,14.771262886597944,,17.883700178465197,,5.718322427126713,,7.658945880797579,1.3263294707399484,133,0.03575029969215393,0.8387334315169367,0.9222096956031567,0.8450413223140496,0.8819407008086253,0.9121503496503497,0.12133954344624448,0,100,59.69440353460972,31.75365619094178,7.565507652997323,,3.705893322867701,,21.768042245257192,,24.087060992987077,,0.0,,0.0,,2.2773758699740623,1.0414185346269653,8.880255878759602,1.633200472141916,-0.3834944009817472,1.0949684964221091,-6.6574628010431045,1.0949684964221091,6.12431787608181,1.216138999903275
PCA-80%,pca,47,0.004424999933689833,0.7363770250368189,0.9023746701846965,0.7066115702479339,0.7925840092699884,0.8437552977325704,0.1738201030927835,0,100,54.56627393225332,26.905462806394663,8.833794653265613,0.7835771931658987,4.119446088358006,0.7276530427622568,4.000786878796084,0.8864998005454154,4.049966803550797,0.9395272425481682,0.0,,0.0,,-7.316510232343425,,-14.717648869056774,,-1.2752259502290406,,-1.2752259502290406,,-0.358061657788778,0.8343143197554348,33,0.03348270012065768,0.7857142857142857,0.8868571428571429,0.8016528925619835,0.8421052631578947,0.8615728968001695,0.1504439617083947,0,100,58.23343151693667,27.256364894326495,6.530708980028321,1.2803530206045515,1.4587319479368355,1.277721643352205,16.399831211060643,1.4602687351009787,16.350187405366505,1.4487539998439045,0.0,,0.0,,11.521407882273808,1.1912814749528744,11.521407882273808,2.889241617544793,1.475459199036444,1.308603978134044,-20.076784101174333,1.3684949494949494,4.518095040680203,1.5280899273785375
PCA-85%,pca,68,0.0044467998668551445,0.7525773195876289,0.9093264248704663,0.7252066115702479,0.8068965517241379,0.8489219114219114,0.17106759941089839,0,100,54.888070692194404,27.03092358224721,11.440197155784128,1.5021152472445343,6.3834390670084655,1.477193354503685,7.59133559592734,,7.391694949091643,,0.0,,0.0,,-0.28958647052008896,,-5.242158641903796,,-1.2752259502290406,,-1.2752259502290406,,2.4724469754929617,1.4896543008741097,40,0.032620199955999844,0.7960235640648011,0.8939566704675028,0.8099173553719008,0.8498644986449865,0.8694387052341599,0.1467281296023564,0,100,58.45066273932253,27.84064947489106,7.384264034582458,1.3764575349708377,3.875590692075581,1.3787567320726837,17.409150065071586,2.0895667211896463,17.359095004504958,2.4640437199387404,0.0,,0.0,,11.873444720938506,0.9774775695743585,6.612157838606477,1.7012928022361986,-6.447055324211773,1.168124129391735,-9.488399762046397,1.2987933767835125,4.85782472695214,1.556814073269714
PCA-90%,pca,99,0.004525399766862392,0.7695139911634757,0.9214929214929215,0.7396694214876033,0.8206303724928367,0.8587187433778343,0.16582960235640648,0,100,55.144329896907216,27.190861316464893,10.999509436965619,1.5281092087454016,6.672634428291553,1.540707772475901,10.97567067992207,,10.326222710695914,,0.0,,0.0,,-7.1831977972721965,,-10.879170135109174,,-1.2752259502290406,,-1.2752259502290406,,1.8361217423035712,1.5344084906106512,51,0.033478699624538415,0.7938144329896907,0.8972286374133949,0.8026859504132231,0.8473282442748091,0.8762992689129053,0.14228659793814433,0,100,58.986745213549334,27.935568638388336,7.510541266842205,1.4360080246065672,3.471989382287716,1.3920915929401292,17.88754702039201,1.8958801199934605,17.194614927737092,2.207256113196573,0.0,,0.0,,10.084678375626025,0.9918535469107551,11.426698101362955,1.9879235255038015,13.791026799156889,1.3953486562721915,16.869918699187,1.670753241756221,9.823701457259187,1.6221393526474623
PCA-95%,pca,156,0.004480000119656324,0.7768777614138439,0.9130434782608695,0.7592975206611571,0.8291032148900169,0.8627913752913752,0.16305692194403534,0,100,55.37923416789396,27.464231583961134,11.289308846405225,1.518597036491841,7.735616470816109,1.4702293593449367,11.963320126585437,1.130593890743089,11.689217811666792,1.353955364921658,0.0,,0.0,,-10.47370481534646,0.5698279965537845,-11.729087824611769,0.6982602035358405,-1.2752259502290406,,-1.2752259502290406,,1.792421871505726,1.1235773085985252,66,0.03343189973384142,0.7952871870397643,0.8956422018348624,0.8068181818181818,0.8489130434782609,0.8850842339478704,0.1389086892488954,0,100,58.69072164948454,27.856830785702407,11.757384219098292,1.4553111598818955,7.580611270791154,1.4058291953268747,15.335542258048562,1.835685112191556,14.692646258839828,2.0772700623559763,0.0,,0.0,,-2.188508627381542,1.1655517349171616,-7.428944967247267,1.7767423416278378,-1.2449945394976232,1.0435149978876213,-4.222788496541674,1.2809431613884663,3.428094737610973,1.5051059706971737
PCA-99%,pca,268,0.004855699837207794,0.7952871870397643,0.9280397022332506,0.7727272727272727,0.8432919954904171,0.8763297308751854,0.15611966126656848,0,100,55.63254786450663,27.866207297003648,12.265931272068663,1.8031930378164027,9.297485337664972,1.8146002822125828,11.894052973513244,,11.669165417291364,,0.0,,0.0,,-4.00401559905788,,-10.194730813287501,,-1.2752259502290406,,-1.2752259502290406,,2.8377436687734785,1.8088966600144927,90,0.036092100199311965,0.8041237113402062,0.9110070257611241,0.8037190082644629,0.854006586169045,0.8887820512820513,0.13801340206185564,0,100,58.77025036818851,29.28163380244613,9.141492240569939,1.5505421714220289,4.2904608017547785,1.5249148829917307,15.93396958994013,1.4366177349714695,15.984068535357332,1.354476010162738,0.0,,0.0,,11.426698101362955,1.1495318413452038,8.742658649889105,1.8636190684425165,-1.8530725847799006,1.2840394962093424,-4.848751190214605,1.3158168256297385,5.881752414387973,1.434944753896846
FA-BIC,existing,320,0.00490549998357892,0.7908689248895434,0.9275,0.7665289256198347,0.8393665158371041,0.8776488662852299,0.15426281296023564,0,100,55.980117820324004,28.164576075173198,10.572442119436229,0.8417299374146879,6.571209104645906,0.834030909789413,0.0,,0.0,,0.0,,0.0,,4.348736197603231,0.594931867452896,-6.978387147417446,0.487878232409797,4.994192799070857,,4.994192799070857,,2.450238587240963,0.6896427367666985,121,0.037239099852740765,0.8092783505154639,0.9155920281359906,0.8068181818181818,0.8577704557935201,0.8953883237974147,0.1357118556701031,0,100,58.45876288659794,29.665553415393553,5.642352065448645,1.2432214240915893,0.5933326832662501,1.2153345269027984,21.668997203355982,2.4882775281937617,19.82121454254894,3.153307273790285,0.0,,0.0,,3.3745797469414027,1.1401102957957112,0.6905402954675521,1.211080586080586,-3.091407813774183,1.633438189953303,-6.1235080435910705,1.5501687042304668,4.257610067966352,1.7043673161298127
ICA-PA,existing,50,0.004509900230914354,0.7430044182621502,0.9067017082785808,0.7128099173553719,0.7981492192018508,0.8435579571943208,0.17422761413843887,0,100,54.52356406480118,26.862475619877575,9.27364050838611,0.8846339391041469,4.9156057729810705,0.8554631625096742,4.466347228084117,0.9615463871592781,4.7146155564934675,0.9656255360351688,0.0,,0.0,,15.701030927835049,,9.502577319587637,,-1.2752259502290406,,-1.2752259502290406,,4.602336541290937,0.916817256202067,27,0.033298300113528974,0.7849779086892489,0.9023809523809524,0.7830578512396694,0.838495575221239,0.8647409408773046,0.153210530191458,0,100,57.10088365243004,29.029784853573826,6.6403833365792755,0.7740846964268026,3.803306646454115,0.7019821846222569,24.294205052005953,3.0225951382957374,25.97820703318475,4.8019116694649595,0.0,,0.0,,2.000733466443917,0.9782724008534038,11.147331676242478,1.5817992939302523,-10.840108401084,1.4185924369747898,-13.835787006518704,1.3539915966386555,4.918827180330777,1.8291536771508572
